CD_CURSO,NM_CURSO,TP_HABILITACAO,SG_CENTRO,NM_CAMPUS,MAX_ANOS
1,Ciências Econômicas,BACHARELADO,CSA  ,MARINGA,8
2,Direito,BACHARELADO,CSA  ,MARINGA,8
3,Letras,LICENCIATURA,CCH  ,MARINGA,8
4,Geografia,AMBOS,CCH  ,MARINGA,8
5,História,LICENCIATURA,CCH  ,MARINGA,8
6,Química,AMBOS,CCE  ,MARINGA,8
7,Matemática,AMBOS,CCE  ,MARINGA,8
8,Administração,BACHARELADO,CSA  ,MARINGA,8
9,Engenharia Civil,BACHARELADO,CTC  ,MARINGA,9
10,Engenharia Química,BACHARELADO,CTC  ,MARINGA,9
11,Educação Física,AMBOS,CCS  ,MARINGA,8
12,Ciências Contábeis,BACHARELADO,CSA  ,MARINGA,7
13,Pedagogia,LICENCIATURA,CCH  ,MARINGA,8
14,Ciências Biológicas,AMBOS,CCB  ,MARINGA,8
15,Física,AMBOS,CCE  ,MARINGA,7
16,Farmácia,BACHARELADO,CCS  ,MARINGA,8
17,Zootecnia,BACHARELADO,CCA  ,MARINGA,8
19,Agronomia,BACHARELADO,CCA  ,MARINGA,8
21,Psicologia,BACHARELADO,CCH  ,MARINGA,9
22,Pedagogia - CRC,LICENCIATURA,CCH  ,CIANORTE,7
23,Ciências Contábeis - CRC,BACHARELADO,CSA  ,CIANORTE,7
24,Medicina,BACHARELADO,CCS  ,MARINGA,9
25,Odontologia,BACHARELADO,CCS  ,MARINGA,8
26,Ciência da Computação,BACHARELADO,CTC  ,MARINGA,7
27,Engenharia Têxtil - CRG,BACHARELADO,CTC  ,GOIOERE,9
28,Licenciatura Plena em Ciências,LICENCIATURA,CCE  ,MARINGA,8
30,Enfermagem,BACHARELADO,CCS  ,MARINGA,7
31,Informática,BACHARELADO,CTC  ,MARINGA,9
33,Ciências Sociais,AMBOS,CCH  ,MARINGA,8
34,Filosofia,LICENCIATURA,CCH  ,MARINGA,8
35,Engenharia Mecânica,BACHARELADO,CTC  ,MARINGA,9
36,Engenharia de Alimentos,BACHARELADO,CTC  ,MARINGA,9
37,Engenharia de Produção,BACHARELADO,CTC  ,MARINGA,9
38,Arquitetura e Urbanismo,BACHARELADO,CTC  ,MARINGA,9
39,Estatística,BACHARELADO,CCE  ,MARINGA,7
40,Secretariado Executivo Trilíngue,BACHARELADO,CCH  ,MARINGA,7
42,Música,BACHARELADO,CCH  ,MARINGA,6
43,Design - CRC,BACHARELADO,CTC  ,CIANORTE,7
44,Moda - CRC,BACHARELADO,CTC  ,CIANORTE,7
45,Engenharia Agrícola  - CAR,LICENCIATURA,CCA  ,ARENITO,8
46,Agronomia - CAU,BACHARELADO,CCA  ,UMUARAMA,8
47,Medicina Veterinária - CAU,BACHARELADO,CCA  ,UMUARAMA,8
48,Tecnologia em Alimentos - CAU,TECNOLOGO,CTC  ,UMUARAMA,5
49,Tecnologia em Meio Ambiente - CAU,TECNOLOGO,CTC  ,UMUARAMA,5
50,Tecnologia em Construção Civil - CAU,TECNOLOGO,CTC  ,UMUARAMA,7